id;part_type;producer;price;FK_id_repair
0;Brake rotor;Centric;100;1
1;Brake pads;Brembo;200;9
2;Control arm bushing;Febi;50;12
3;Fuel filter;Wix;50;6
4;EGR valve gasket;Fel-Pro;25;12
5;Brake caliper;Cardone;50;17
6;Clutch kit;Exedy;200;18
7;Transmission speed sensor;ACDelco;25;13
8;Radiator fan assembly;TYC;100;13
9;Drive belt;Gates;25;15
10;Tie rod end;Mevotech;50;17
11;Throttle body;Dorman;75;3
12;Ball joint;Moog;50;11
13;Control arm;Moog;75;17
14;Engine oil cooler;Dorman;75;26
15;Oxygen sensor;Bosch;150;9
16;Ignition control module;ACDelco;50;10
17;Tie rod end;Mevotech;50;14
18;Fuel pressure regulator;Delphi;25;28
19;Transmission speed sensor;ACDelco;25;31
20;Brake rotor;Centric;100;1
21;Clutch kit;Exedy;200;4
22;Transmission fluid change;Valvoline;200;4
23;Blower motor;TYC;75;6
24;Control arm;Moog;150;12
25;Transmission speed sensor;ACDelco;25;15
26;Fuel tank filler neck;Dorman;50;34
27;Transmission speed sensor;ACDelco;25;35
28;Thermostat;Stant;50;7
29;Wheel alignment;-;400;7
30;Oxygen sensor;Bosch;150;15
31;Control arm bushing;Febi;50;24
32;Ball joint;Moog;50;28
33;Power steering hose;Gates;100;25
34;Transmission mount;Anchor;50;40
35;Radiator fan assembly;TYC;100;42
36;Engine mount;DEA;50;21
37;Ball joint;Moog;50;21
38;Fuel tank filler neck;Dorman;50;36
39;Fuel tank;Spectra Premium;200;37
40;Clutch kit;Exedy;200;43
41;Engine mount;DEA;50;24
42;Wheel bearing;SKF;50;37
43;Battery;AC Delco;350;24
44;Exhaust hanger;Walker;25;28
45;Fuel tank filler neck;Dorman;50;34
46;Transmission filter;Fram;50;35
47;Crankshaft position sensor;Beck/Arnley;50;40
48;Tire rotation;-;100;40
49;Fuel tank;Spectra Premium;200;41
50;Throttle body;Dorman;75;41
51;Ignition switch;ACDelco;50;46
52;Fuel filter;Wix;50;49
53;Transmission speed sensor;ACDelco;25;29
54;Transmission speed sensor;ACDelco;25;29
55;Wheel bearing;SKF;50;43
56;Shock absorber;KYB;75;37
57;Transmission filter;Fram;50;44
58;Headlight bulb;Philips;25;44
59;Oxygen sensor;Bosch;150;45
60;Oxygen sensor;Bosch;150;48
61;Tie rod end;Mevotech;50;61
62;PCV valve;Standard Motor Products;25;67
63;Engine mount;DEA;50;42
64;Spark plugs;NGK;25;50
65;Wheel lug nuts;Dorman;25;51
66;Ignition coil;Bosch;50;64
67;Brake fluid flush;Castrol;100;67
68;Transmission control module;ACDelco;200;76
69;Transmission speed sensor;ACDelco;25;48
70;Water pump;Airtex;200;52
71;Engine control module;A1 Cardone;200;55
72;Control arm bushing;Dorman;25;55
73;Wheel cylinder;Raybestos;50;56
74;Wheel alignment;-;400;59
75;Headlight assembly;TYC;100;60
76;Ignition control module;ACDelco;50;68
77;Transmission mount;Anchor;50;74
78;Drive belt;Gates;25;74
79;Control arm;Moog;75;79
80;PCV valve;Standard Motor Products;25;48
83;EGR valve;Standard Motor Products;50;58
82;Muffler;Walker;100;53
83;EGR valve;Standard Motor Products;50;58
84;Serpentine belt;Gates;75;66
85;Fuel filter;Wix;50;68
86;Mass airflow sensor;Spectra Premium;150;77
87;Water pump;Airtex;200;52
88;Fuel tank;Spectra Premium;200;61
90;Fuel injector;Bosch;100;58
90;Fuel injector;Bosch;100;58
91;Brake caliper;Cardone;50;70
92;Muffler;Walker;100;70
93;EGR valve;ACDelco;75;73
94;Transmission shift solenoid;Rostra;75;81
95;Thermostat;Stant;50;81
96;Control arm;Moog;75;87
97;Wheel bearing;SKF;50;87
98;Brake master cylinder;Centric;100;93
99;Oxygen sensor;Bosch;150;95
100;Transmission mount;Westar;25;72
101;Ignition control module;ACDelco;50;74
102;Shock absorber;KYB;75;77
103;PCV valve;Standard Motor Products;25;80
104;EGR valve;ACDelco;75;92
105;Serpentine belt;Gates;75;95
106;Transmission pan gasket;Fel-Pro;25;83
107;Radiator;Denso;350;89
108;Exhaust hanger;Walker;25;95
109;Control arm;Moog;75;103
110;Ignition control module;ACDelco;50;103
111;Transmission pan gasket;Fel-Pro;25;73
112;Control arm;Dorman;50;73
113;Transmission fluid cooler;Hayden;50;90
114;Thermostat;Stant;50;91
115;Brake caliper;Cardone;50;97
116;Control arm bushing;Febi;50;100
117;Oxygen sensor;Bosch;150;101
118;Control arm;Moog;75;106
119;Fuel tank filler neck;Dorman;50;107
120;Windshield wipers;Rain-X;50;81
121;Transmission fluid cooler;Hayden;50;87
122;Fuel filter;Wix;50;101
123;Exhaust hanger;Walker;25;110
124;Air filter;Fram;50;93
125;Wheel cylinder;Raybestos;50;101
126;Muffler;Walker;100;103
127;Ball joint;Moog;50;105
128;Transmission shift solenoid;Rostra;75;114
129;Ignition switch;ACDelco;50;117
130;Suspension strut;Monroe;200;125
131;Transmission shift cable;Pioneer Cables;50;104
132;Transmission filter;Fram;50;111
133;Water pump;Airtex;200;112
134;Power steering hose;Gates;100;117
135;Radiator fan assembly;TYC;100;120
136;Wheel lug nuts;Dorman;25;132
137;Transmission pan gasket;Fel-Pro;25;110
138;Ignition control module;ACDelco;50;113
139;EGR valve;Standard Motor Products;50;117
140;Serpentine belt;Gates;75;118
141;Serpentine belt;Gates;75;121
142;Headlight bulb;Philips;25;127
143;Tire rotation;-;100;137
144;Fuel tank filler neck;Dorman;50;102
145;Wheel hub assembly;Timken;200;119
146;Transmission mount;Anchor;50;107
147;Transmission fluid change;Valvoline;200;114
148;Ignition coil;Delphi;100;127
149;Blower motor;TYC;75;130
150;Transmission fluid change;Valvoline;200;147
151;Windshield wipers;Rain-X;50;111
152;Transmission fluid cooler;Hayden;50;118
153;Wheel cylinder;Raybestos;50;122
154;Air filter;Fram;50;124
155;EGR valve gasket;Fel-Pro;25;138
156;Power steering pump;Cardone;150;118
157;Power steering pump;Cardone;150;121
159;Power steering hose;Gates;100;133
159;Power steering hose;Gates;100;133
160;Fuel filter;Wix;50;134
161;Mass airflow sensor;Spectra Premium;150;136
162;Control arm;Dorman;50;137
163;Ignition control module;ACDelco;50;147
164;Control arm;Dorman;50;151
165;Ignition coil;Delphi;100;159
166;Brake master cylinder;Centric;100;126
167;Muffler;Walker;100;134
168;Ignition control module;ACDelco;50;135
169;Catalytic converter;MagnaFlow;300;139
170;Transmission mount;Westar;25;149
171;Mass airflow sensor;Spectra Premium;150;150
172;Radiator;Denso;350;157
173;Brake master cylinder;Centric;100;161
174;Transmission mount;Anchor;50;164
175;Catalytic converter;MagnaFlow;300;129
176;Catalytic converter;MagnaFlow;300;137
177;Radiator fan assembly;TYC;100;162
178;Oil change;Mobil 1;150;167
179;Fuel tank filler neck;Dorman;50;168
180;Transmission mount;Westar;25;140
181;Control arm;Moog;150;146
182;Spark plugs;NGK;25;148
183;Crankshaft position sensor;Beck/Arnley;50;151
184;Ignition coil;Delphi;100;168
185;Exhaust hanger;Walker;25;174
186;Suspension strut;Monroe;200;142
187;Brake caliper;Cardone;50;146
188;Thermostat;Stant;50;150
189;Fuel tank filler neck;Dorman;50;153
190;Engine oil cooler;Dorman;75;170
191;Fuel tank;Spectra Premium;200;153
192;Headlight bulb;Philips;25;157
193;EGR valve;Standard Motor Products;50;178
194;Fuel tank filler neck;Dorman;50;180
198;Brake pads;Brembo;200;156
197;Air filter;Fram;50;155
197;Air filter;Fram;50;155
198;Brake pads;Brembo;200;156
199;EGR valve;ACDelco;75;163
200;Battery;AC Delco;350;173
201;Axle shaft;A1 Cardone;100;183
202;Ball joint;Moog;50;184
203;Fuel pump;Delphi;150;186
204;Clutch kit;Exedy;200;159
205;Wheel cylinder;Raybestos;50;180
206;Water pump;Airtex;200;180
207;Wheel cylinder;Raybestos;50;165
208;Transmission control module;ACDelco;200;167
209;Ignition switch;Standard Motor Products;25;170
210;Spark plugs;NGK;25;171
211;Transmission mount;Westar;25;173
212;Wheel lug nuts;Dorman;25;174
213;Wheel lug nuts;Dorman;25;188
214;Ignition coil;Delphi;100;175
215;Ignition coil;Bosch;50;177
216;Transmission speed sensor;ACDelco;25;179
217;Ignition control module;ACDelco;50;186
218;Spark plugs;NGK;25;191
219;Engine oil cooler;Dorman;75;194
220;Fuel filter;Wix;50;172
221;Power steering pump;Cardone;150;176
222;Crankshaft position sensor;Beck/Arnley;50;176
223;Engine control module;A1 Cardone;200;179
224;Brake rotor;Centric;100;188
225;Axle shaft;A1 Cardone;100;182
226;Water pump;Airtex;200;205
227;Spark plugs;NGK;25;213
228;Ignition switch;Standard Motor Products;25;185
229;Transmission filter;Fram;50;197
230;Tie rod end;Mevotech;50;199
231;Axle shaft;A1 Cardone;100;217
232;Windshield wipers;Rain-X;50;218
233;Camshaft position sensor;Dorman;100;190
234;Control arm;Moog;75;193
235;Ignition coil;Bosch;50;202
236;Brake master cylinder;Centric;100;203
237;Control arm;Moog;75;209
238;Thermostat;Stant;50;214
239;Muffler;Walker;100;194
240;EGR valve;ACDelco;75;204
241;Windshield wipers;Rain-X;50;205
242;Water pump;Airtex;200;207
243;Engine mount;DEA;50;208
244;Brake pads;Brembo;200;219
245;Fuel filter;Wix;50;222
246;Oil change;Mobil 1;150;228
247;Ignition switch;Standard Motor Products;25;229
252;Control arm;Dorman;50;206
249;Fuel tank;Spectra Premium;200;197
250;Crankshaft position sensor;Beck/Arnley;50;200
251;Transmission mount;Anchor;50;203
252;Control arm;Dorman;50;206
253;Transmission mount;Westar;25;215
254;Thermostat;Stant;50;216
255;MAP sensor;Standard Motor Products;50;226
256;Blower motor;TYC;75;233
257;Brake pads;Brembo;200;208
258;Headlight assembly;TYC;100;213
259;Transmission speed sensor;ACDelco;25;228
260;Transmission mount;Westar;25;229
261;Brake caliper;Cardone;50;230
263;MAP sensor;Standard Motor Products;50;206
263;MAP sensor;Standard Motor Products;50;206
264;Throttle body;Dorman;75;217
265;Ignition switch;Standard Motor Products;25;236
266;Control arm;Moog;75;244
267;Transmission filter;Fram;50;219
268;Water pump;Airtex;200;240
269;Shock absorber;KYB;75;251
270;EGR valve;ACDelco;75;235
271;EGR valve gasket;Fel-Pro;25;239
272;Throttle body;Dorman;75;239
273;Battery;AC Delco;350;240
274;Power steering pump;Cardone;150;251
275;Battery;AC Delco;350;222
276;Transmission fluid cooler;Hayden;50;222
277;Transmission fluid cooler;Hayden;50;231
278;Fuel pump;Delphi;150;233
279;Throttle body;Dorman;75;235
280;Fuel pump;Delphi;150;243
281;EGR valve;Standard Motor Products;50;243
282;Water pump;Airtex;200;255
283;Radiator;Denso;350;260
284;Wheel alignment;-;400;231
285;Ignition control module;ACDelco;50;232
286;Fuel injector;Bosch;100;233
289;Thermostat;Stant;50;246
288;Tie rod end;Mevotech;50;244
289;Thermostat;Stant;50;246
290;Thermostat;Stant;50;256
291;Fuel pressure regulator;Delphi;25;259
292;Wheel cylinder;Raybestos;50;237
293;Air filter;Fram;50;238
294;Brake pads;Brembo;200;250
295;Camshaft position sensor;Dorman;100;255
296;CV joint;GSP;100;260
297;Power steering hose;Gates;100;259
298;Fuel filter;Wix;50;260
299;Catalytic converter;MagnaFlow;300;271
300;Windshield wipers;Rain-X;50;250
301;Fuel pump;Delphi;150;256
302;EGR valve;ACDelco;75;257
303;Air filter;Fram;50;273
304;Transmission fluid cooler;Hayden;50;249
305;Control arm;Moog;150;252
306;Brake master cylinder;Centric;100;258
307;Brake master cylinder;Centric;100;262
308;Brake fluid flush;Castrol;100;266
309;Spark plugs;NGK;25;268
310;Transmission mount;Westar;25;271
311;Windshield wipers;Rain-X;50;258
312;EGR valve;Standard Motor Products;50;261
313;Wheel bearing;SKF;50;265
314;Wheel cylinder;Raybestos;50;267
315;Engine control module;A1 Cardone;200;270
316;Windshield wipers;Rain-X;50;259
317;Control arm bushing;Febi;50;278
318;Fuel filter;Wix;50;282
319;Ignition control module;ACDelco;50;282
320;Transmission control module;ACDelco;200;290
321;Control arm;Moog;150;272
322;Spark plugs;NGK;25;274
323;CV joint;GSP;100;277
324;PCV valve;Standard Motor Products;25;288
325;Ignition switch;Standard Motor Products;25;296
326;Spark plugs;NGK;25;272
327;Clutch kit;Exedy;200;285
328;Axle shaft;A1 Cardone;100;297
