id;repair_date_start;repair_date_end;FK_registration;FK_id_mechanic;pricing;used_car_transporter;is_complaint;repair_no
0;27-11-2021;01-12-2021;GD57VK4;6;0;False;False;1
1;29-11-2021;01-12-2021;GDB6E8H;2;500;False;False;2
2;26-11-2021;01-12-2021;GDHAHH2;4;0;False;False;3
3;27-11-2021;01-12-2021;GDAVP3S;0;150;False;False;4
4;30-11-2021;01-12-2021;GD4VPA8;6;600;False;False;5
5;29-11-2021;01-12-2021;GDJNFQE;6;0;False;False;6
6;29-11-2021;02-12-2021;GDVFF65;3;350;False;False;7
7;29-11-2021;02-12-2021;GDOTA1G;2;550;False;False;8
8;27-11-2021;02-12-2021;GDJ353Z;5;0;False;False;9
9;26-11-2021;02-12-2021;GD90T4A;6;600;False;False;10
10;26-11-2021;02-12-2021;GDD40IT;4;100;False;False;11
11;27-11-2021;03-12-2021;GDUC07C;2;100;False;False;12
12;29-11-2021;03-12-2021;GD7LN7O;5;450;False;False;13
13;03-12-2021;03-12-2021;GD2Y78N;1;350;False;False;14
14;03-12-2021;03-12-2021;GD674QE;7;150;False;False;15
15;29-11-2021;04-12-2021;GDC4X93;6;550;False;False;16
16;02-12-2021;04-12-2021;GDX308Q;6;0;False;False;17
17;28-11-2021;04-12-2021;GDMS89Y;5;450;False;False;18
18;29-11-2021;04-12-2021;GDRBCT6;7;300;False;False;19
19;01-12-2021;05-12-2021;GDE7GMO;6;0;False;False;20
20;04-12-2021;05-12-2021;GDMS89Y;6;0;False;False;21
21;01-12-2021;05-12-2021;GDERV2K;3;200;False;False;22
22;02-12-2021;05-12-2021;GDGNPRW;1;0;False;False;23
23;05-12-2021;06-12-2021;GDRCI78;7;0;False;False;24
24;01-12-2021;06-12-2021;GD4VPA8;7;350;False;False;25
25;29-11-2021;06-12-2021;GDNSGWH;5;200;False;False;26
26;01-12-2021;06-12-2021;GDGZZFS;0;150;False;False;27
27;04-12-2021;06-12-2021;GDTC016;0;0;False;False;28
28;06-12-2021;07-12-2021;GDI3NKZ;7;300;False;False;29
29;30-11-2021;07-12-2021;GDGZZFS;3;300;False;False;30
30;05-12-2021;07-12-2021;GDRCI78;6;0;False;True;24
31;03-12-2021;07-12-2021;GDD79ZF;1;150;False;False;31
32;05-12-2021;07-12-2021;GD8TYQ0;5;0;False;False;32
33;02-12-2021;07-12-2021;GDVG4C7;5;0;False;False;33
34;02-12-2021;08-12-2021;GDXDUFY;5;200;False;False;34
35;07-12-2021;08-12-2021;GD8D6Q5;0;250;False;False;35
36;02-12-2021;08-12-2021;GDDQFHP;7;100;False;False;36
37;07-12-2021;08-12-2021;GDYAE4G;3;600;False;False;37
38;06-12-2021;09-12-2021;GDMS89Y;3;0;False;True;21
39;04-12-2021;09-12-2021;GDOQ5V3;3;0;False;False;38
40;05-12-2021;09-12-2021;GDO5SGO;7;325;False;False;39
41;06-12-2021;09-12-2021;GDJ353Z;6;450;False;False;40
42;08-12-2021;09-12-2021;GD674QE;0;300;False;False;41
43;09-12-2021;10-12-2021;GDI193N;5;450;False;False;42
44;03-12-2021;10-12-2021;GD90T4A;3;150;False;False;43
45;04-12-2021;10-12-2021;GD20JG1;7;300;False;False;44
46;03-12-2021;10-12-2021;GDEWAVJ;6;100;False;False;45
47;06-12-2021;11-12-2021;GDCI6CR;1;0;False;False;46
48;05-12-2021;11-12-2021;GDEUENV;3;550;False;False;47
49;06-12-2021;11-12-2021;GD7QL4E;1;150;False;False;48
50;10-12-2021;11-12-2021;GD12BIP;6;500;True;False;49
51;09-12-2021;12-12-2021;GD0V781;5;50;False;False;50
52;07-12-2021;12-12-2021;GDBIF9X;6;700;False;False;51
53;05-12-2021;12-12-2021;GDH7DWG;3;200;False;False;52
54;05-12-2021;12-12-2021;GDJ353Z;7;0;False;False;53
55;09-12-2021;12-12-2021;GDF1VGP;6;400;False;False;54
56;07-12-2021;12-12-2021;GDKEYVP;1;100;False;False;55
57;09-12-2021;13-12-2021;GDAVP3S;2;0;False;False;56
58;13-12-2021;13-12-2021;GD12BIP;0;0;False;True;49
59;10-12-2021;13-12-2021;GD1583Z;1;350;False;False;57
60;11-12-2021;13-12-2021;GDOQ5V3;1;200;False;False;58
61;06-12-2021;13-12-2021;GDERV2K;5;450;False;False;59
62;13-12-2021;14-12-2021;GD0V781;5;0;False;False;60
63;09-12-2021;14-12-2021;GDX5903;2;0;False;False;61
64;11-12-2021;14-12-2021;GDHGZME;1;100;False;False;62
65;09-12-2021;14-12-2021;GD9XDJ5;4;0;False;False;63
